"num.trees","mtry","min.node.size","max.depth","accuracy"
100,2,1,5,0
500,2,1,5,0.400777592006449
1000,2,1,5,0
100,3,1,5,0
500,3,1,5,0
1000,3,1,5,0.379036389558504
100,4,1,5,0.381382469629035
500,4,1,5,0
1000,4,1,5,0
100,5,1,5,0
500,5,1,5,0
1000,5,1,5,0
100,2,5,5,0.405197714086012
500,2,5,5,0.400954317462461
1000,2,5,5,0
100,3,5,5,0
500,3,5,5,0.386187813489117
1000,3,5,5,0.379062203389157
100,4,5,5,0
500,4,5,5,0.380718259909532
1000,4,5,5,0.380129506002708
100,5,5,5,0.386519421929048
500,5,5,5,0.385417369928079
1000,5,5,5,0.385488854382196
100,2,10,5,0.404502726337653
500,2,10,5,0
1000,2,10,5,0
100,3,10,5,0.385837341096016
500,3,10,5,0.386187813489117
1000,3,10,5,0
100,4,10,5,0.381374526911911
500,4,10,5,0.380699395956363
1000,4,10,5,0.380129506002708
100,5,10,5,0.390754875835475
500,5,10,5,0.385443183758732
1000,5,10,5,0
100,2,1,10,0.530955747151543
500,2,1,10,0.530679737731481
1000,2,1,10,0.530806821205466
100,3,1,10,0.536950512900958
500,3,1,10,0
1000,3,1,10,0.538359352350846
100,4,1,10,0.539677843393446
500,4,1,10,0.540345031631871
1000,4,1,10,0.540534664003209
100,5,1,10,0
500,5,1,10,0
1000,5,1,10,0.541061861852321
100,2,5,10,0
500,2,5,10,0
1000,2,5,10,0.530837599234322
100,3,5,10,0
500,3,5,10,0
1000,3,5,10,0
100,4,5,10,0
500,4,5,10,0
1000,4,5,10,0
100,5,5,10,0
500,5,5,10,0
1000,5,5,10,0
100,2,10,10,0
500,2,10,10,0
1000,2,10,10,0
100,3,10,10,0
500,3,10,10,0.538235247395782
1000,3,10,10,0
100,4,10,10,0
500,4,10,10,0.540435380039158
1000,4,10,10,0
100,5,10,10,0.5409437139351
500,5,10,10,0
1000,5,10,10,0
100,2,1,15,0.647649154299194
500,2,1,15,0.648514910465721
1000,2,1,15,0.649076857702251
100,3,1,15,0
500,3,1,15,0
1000,3,1,15,0.668219798810975
100,4,1,15,0.676883317514088
500,4,1,15,0
1000,4,1,15,0.677707374415714
100,5,1,15,0
500,5,1,15,0
1000,5,1,15,0.683119343296148
100,2,5,15,0.647093164100507
500,2,5,15,0
1000,2,5,15,0.64860923023157
100,3,5,15,0
500,3,5,15,0.667987474335095
1000,3,5,15,0
100,4,5,15,0.676986572836702
500,4,5,15,0.677494906732644
1000,4,5,15,0
100,5,5,15,0
500,5,5,15,0.683210684543075
1000,5,5,15,0
100,2,10,15,0.647166634233905
500,2,10,15,0
1000,2,10,15,0
100,3,10,15,0
500,3,10,15,0
1000,3,10,15,0
100,4,10,15,0
500,4,10,15,0
1000,4,10,15,0.677283431889215
100,5,10,15,0.681814752008515
500,5,10,15,0
1000,5,10,15,0
100,2,1,20,0.79628816971998
500,2,1,20,0.798392989757866
1000,2,1,20,0.798931108843024
100,3,1,20,0.820389351993423
500,3,1,20,0
1000,3,1,20,0.823551546248456
100,4,1,20,0.833268467810153
500,4,1,20,0.834511503040075
1000,4,1,20,0
100,5,1,20,0.83810458969909
500,5,1,20,0
1000,5,1,20,0.84008034058371
100,2,5,20,0
500,2,5,20,0
1000,2,5,20,0.797714880283396
100,3,5,20,0
500,3,5,20,0.822395880906899
1000,3,5,20,0.822971727898397
100,4,5,20,0
500,4,5,20,0.833551427107699
1000,4,5,20,0.833945584444983
100,5,5,20,0.837661783219422
500,5,5,20,0
1000,5,5,20,0
100,2,10,20,0.792195684721786
500,2,10,20,0.794471273177841
1000,2,10,20,0
100,3,10,20,0.817934059562436
500,3,10,20,0.820511471269207
1000,3,10,20,0.820997962693058
100,4,10,20,0.830427953598647
500,4,10,20,0.831815943416083
1000,4,10,20,0.832044296533401
100,5,10,20,0
500,5,10,20,0
1000,5,10,20,0
