"eta","max_depth","nrounds","subsample","accuracy"
0.3,5,50,1,NA
0.2,5,50,1,0.614525919071655
0.1,5,50,1,NA
0.05,5,50,1,NA
0.3,10,50,1,0.838163048097123
0.2,10,50,1,NA
0.1,10,50,1,0.76868313721441
0.05,10,50,1,0.737147571712807
0.3,15,50,1,0.89155299976569
0.2,15,50,1,NA
0.1,15,50,1,0.871735920541058
0.05,15,50,1,NA
0.3,20,50,1,NA
0.2,20,50,1,0.908339932407477
0.1,20,50,1,NA
0.05,20,50,1,0.896813064181126
0.3,5,100,1,0.750448644376755
0.2,5,100,1,0.697899627883703
0.1,5,100,1,0.609953892527095
0.05,5,100,1,NA
0.3,10,100,1,NA
0.2,10,100,1,NA
0.1,10,100,1,0.816016767075849
0.05,10,100,1,0.771264520279742
0.3,15,100,1,NA
0.2,15,100,1,0.914625600171563
0.1,15,100,1,NA
0.05,15,100,1,NA
0.3,20,100,1,0.920516117758724
0.2,20,100,1,NA
0.1,20,100,1,0.920983745229406
0.05,20,100,1,0.910612542344611
0.3,5,150,1,NA
0.2,5,150,1,0.748504664360631
0.1,5,150,1,NA
0.05,5,150,1,NA
0.3,10,150,1,NA
0.2,10,150,1,0.897960786805558
0.1,10,150,1,NA
0.05,10,150,1,NA
0.3,15,150,1,0.923124307494351
0.2,15,150,1,NA
0.1,15,150,1,0.914707013022085
0.05,15,150,1,NA
0.3,20,150,1,NA
0.2,20,150,1,NA
0.1,20,150,1,0.92817786126456
0.05,20,150,1,0.918243507821591
0.3,5,50,0.8,0.668432147353288
0.2,5,50,0.8,0.614707608725869
0.1,5,50,0.8,0.56656084319885
0.05,5,50,0.8,0.542663193051711
0.3,10,50,0.8,NA
0.2,10,50,0.8,NA
0.1,10,50,0.8,NA
0.05,10,50,0.8,NA
0.3,15,50,0.8,0.892351242836662
0.2,15,50,0.8,NA
0.1,15,50,0.8,0.868703788278932
0.05,15,50,0.8,0.857758724081921
0.3,20,50,0.8,0.907099875696477
0.2,20,50,0.8,NA
0.1,20,50,0.8,NA
0.05,20,50,0.8,NA
0.3,5,100,0.8,NA
0.2,5,100,0.8,0.700061039781099
0.1,5,100,0.8,NA
0.05,5,100,0.8,NA
0.3,10,100,0.8,NA
0.2,10,100,0.8,NA
0.1,10,100,0.8,0.818254627625564
0.05,10,100,0.8,NA
0.3,15,100,0.8,0.915286831372144
0.2,15,100,0.8,0.914608721897674
0.1,15,100,0.8,NA
0.05,15,100,0.8,NA
0.3,20,100,0.8,NA
0.2,20,100,0.8,NA
0.1,20,100,0.8,0.920152738450296
0.05,20,100,0.8,0.908430280814764
0.3,5,150,0.8,0.798013605874434
0.2,5,150,0.8,NA
0.1,5,150,0.8,NA
0.05,5,150,0.8,0.588112413275457
0.3,10,150,0.8,0.910645306052748
0.2,10,150,0.8,NA
0.1,10,150,0.8,0.853255203472556
0.05,10,150,0.8,0.800764764518294
0.3,15,150,0.8,0.924138989606955
0.2,15,150,0.8,NA
0.1,15,150,0.8,0.914934373299762
0.05,15,150,0.8,0.891779367203727
0.3,20,150,0.8,NA
0.2,20,150,0.8,NA
0.1,20,150,0.8,0.928342672644885
0.05,20,150,0.8,NA
0.3,5,50,0.6,0.667992319392541
0.2,5,50,0.6,NA
0.1,5,50,0.6,NA
0.05,5,50,0.6,0.543212233372915
0.3,10,50,0.6,0.836772079760765
0.2,10,50,0.6,NA
0.1,10,50,0.6,0.766138489215776
0.05,10,50,0.6,NA
0.3,15,50,0.6,0.887371159199851
0.2,15,50,0.6,NA
0.1,15,50,0.6,0.864338272379598
0.05,15,50,0.6,NA
0.3,20,50,0.6,NA
0.2,20,50,0.6,NA
0.1,20,50,0.6,NA
0.05,20,50,0.6,0.886802262085837
0.3,5,100,0.6,0.752829473834704
0.2,5,100,0.6,NA
0.1,5,100,0.6,NA
0.05,5,100,0.6,NA
0.3,10,100,0.6,0.889352867122314
0.2,10,100,0.6,0.869732370146503
0.1,10,100,0.6,0.817991525120829
0.05,10,100,0.6,0.77158917884219
0.3,15,100,0.6,0.913233638995564
0.2,15,100,0.6,0.91181189263035
0.1,15,100,0.6,NA
0.05,15,100,0.6,0.873609408942705
0.3,20,100,0.6,NA
0.2,20,100,0.6,0.922530589389324
0.1,20,100,0.6,0.917462143024507
0.05,20,100,0.6,NA
0.3,5,150,0.6,NA
0.2,5,150,0.6,NA
0.1,5,150,0.6,0.660303769216411
0.05,5,150,0.6,0.587721234457095
0.3,10,150,0.6,NA
0.2,10,150,0.6,0.897463374145661
0.1,10,150,0.6,0.85338030126726
0.05,10,150,0.6,NA
0.3,15,150,0.6,0.922562360257821
0.2,15,150,0.6,0.923841137714801
0.1,15,150,0.6,0.91188933412231
0.05,15,150,0.6,NA
0.3,20,150,0.6,0.924576831888421
0.2,20,150,0.6,0.928802357398442
0.1,20,150,0.6,NA
0.05,20,150,0.6,NA
